address,room,floor,page,coordinates
64,27FL,1FL,7,"[2302.88, 87.7478, 2326.29, 109.758]"
"29FL30FL",29FL,29FL,8,"[1995.1, 398.565, 2061.87, 524.24]"
65,S/H,29FL,8,"[1731.93, 722.345, 1755.35, 744.355]"
66,S/H,29FL,8,"[1710.99, 684.381, 1734.41, 706.391]"
81,FOYER,29FL,8,"[1711.43, 1105.91, 1734.84, 1127.92]"
82,Spare,29FL,8,"[2292.23, 1040.46, 2315.64, 1062.47]"
83,29FL,29FL,8,"[2199.29, 520.734, 2222.71, 542.744]"
84,Spare,29FL,8,"[2320.88, 971.936, 2344.29, 993.946]"
85,30FL,29FL,8,"[2202.73, 452.006, 2226.15, 474.016]"
86,Spare,29FL,8,"[2341.49, 889.135, 2364.91, 911.145]"
67,29FL,29FL,8,"[2088.88, 518.562, 2112.3, 540.573]"
68,29FL,29FL,8,"[2138.19, 518.562, 2161.61, 540.573]"
69,30FL,29FL,8,"[2088.45, 449.617, 2111.86, 471.627]"
70,30FL,29FL,8,"[2142.12, 444.38, 2165.53, 466.39]"
Spare,Spare,29FL,8,"[2250.34, 1103.56, 2314.39, 1130.72]"
71,S,1FL,9,"[1706.08, 1250.24, 1729.5, 1272.25]"
72,OS,1FL,9,"[1534.59, 1498.97, 1558, 1520.98]"
73,VESTIBULE,1FL,9,"[1822.7, 844.964, 1846.11, 866.974]"
87,MD,1FL,9,"[1548.66, 1389.55, 1572.08, 1411.56]"
88,G,1FL,9,"[1814.41, 1295.29, 1837.82, 1317.3]"
74,EL. METER RM.,1FL,10,"[2483.53, 1159.9, 2506.95, 1181.91]"
75,HWHR,1FL,10,"[2743.72, 960.592, 2767.13, 982.602]"
76,S/H EL,1FL,10,"[2524.28, 732.808, 2547.69, 754.818]"
77,RTU A-R-1,1FL,10,"[1221.12, 1180.8, 1244.53, 1202.81]"
78,RTU A-R-1,1FL,10,"[1250.44, 1193.37, 1273.86, 1215.38]"
89,AR,1FL,10,"[2593.32, 677.181, 2616.74, 699.191]"
90,AR,1FL,10,"[2559.28, 660.818, 2582.7, 682.828]"
"125 - AES Radio Trouble",125 - AES Radio Trouble,1FL,10,"[2474.85, 337.736, 2830.92, 510.86]"
91,PFPP A-R-2,1FL,10,"[1057.76, 1391.51, 1081.18, 1413.52]"
92,PF A-R-2,1FL,10,"[1109.78, 1369.43, 1133.2, 1391.44]"
93,PFFP A-R-1,1FL,10,"[1168.77, 1468.92, 1192.19, 1490.93]"
94,PFFP A-R-1,1FL,10,"[1240.4, 1454.23, 1263.82, 1476.24]"
